,aliases,align,alive,appearances,birth,character_id,character_name,count_of_issue_appearances,deck,eye,first_appeared_in_issue,gsm,hair,identity_type,image,join_name,origin,page_id,powers,publisher,real_name,sex,teams,year
1792,None,Bad Characters,Living Characters,2,,4854,Badlands,3,,,Jan-06,,,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/1721629-badlands.jpg,badlands_jan_06,,208124,,DC Comics,None,Male Characters,,2006
1793,None,Bad Characters,Living Characters,2,,69233,Bottom Feeder,3,"A faithful Christian who claimed that he was cursed to not be able to enter the Kingdom of God. He worked with the Diviner, under the impression that he was working for the greater good.",,Sep-06,,,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/1124045-bottomfeeder.jpg,bottom_feeder_sep_06,Other,96408,,DC Comics,None,Male Characters,,2006
1794,None,,Living Characters,2,,116217,Danae,2,Amazon.  No relation to the Greek myth.,,Jan-06,,Brown Hair,,https://comicvine.gamespot.com/api/image/scale_large/4433600-danae_001.jpg,danae_jan_06,God/Eternal,345518,,DC Comics,Danae,Female Characters,,2006
1795,None,,Living Characters,2,,116218,Didiu,2,Amazon.,,Jan-06,,Brown Hair,,https://comicvine.gamespot.com/api/image/scale_large/4433602-iolan_didiu_001.jpg,didiu_jan_06,God/Eternal,345519,,DC Comics,Didiu,Female Characters,,2006
1796,None,,Living Characters,2,,116216,Iolan,2,Amazon.,,Jan-06,,Blond Hair,,https://comicvine.gamespot.com/api/image/scale_large/4433603-iolan_didiu_001.jpg,iolan_jan_06,God/Eternal,345520,,DC Comics,Iolan,Female Characters,,2006
1797,None,Bad Characters,Living Characters,2,,4852,Mug,3,,,Jan-06,,,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/3796588-mug_01.jpg,mug_jan_06,,208120,,DC Comics,None,Male Characters,,2006
1798,None,Bad Characters,Deceased Characters,2,,56930,Propaganda,3,Telepath and member of First Strike,,Nov-06,,,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/498039-scan.jpg,propaganda_nov_06,Human,181372,,DC Comics,None,Male Characters,,2006
1799,None,Good Characters,Deceased Characters,2,,52690,Thormon Tox,5,"Honored Fallen Lantern of Space Sector 3500, he and his sector partner, Xax II, died fighting Lady Styx.",Blue Eyes,Dec-06,,Blond Hair,Public Identity,https://comicvine.gamespot.com/api/image/scale_large/338562-105358-thormon-tox.jpg,thormon_tox_dec_06,Alien,178598,,DC Comics,None,Male Characters,,2006
1800,"All-Beard the Intoxicated
Master of the Night-Frigate
Worm Almighty",Bad Characters,Deceased Characters,2,,66741,All-Beard,4,Subway pirate and leader of the Sun Lubbers,Brown Eyes,May-05,,Grey Hair,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/993982-all_beard_4.jpg,all-beard_may_05,Human,240062,,DC Comics,None,Male Characters,,2005
1801,None,,Living Characters,2,,116199,Callisto,2,Amazon.,,Feb-05,,Blond Hair,,https://comicvine.gamespot.com/api/image/scale_large/4433144-callisto_001.jpg,callisto_feb_05,God/Eternal,345503,,DC Comics,Callisto,Female Characters,,2005
1802,None,Bad Characters,Living Characters,2,,134582,Charliehorse,2,,Black Eyes,Nov-05,,Brown Hair,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/6417017-01_charlie.jpg,charliehorse_nov_05,Mutant,182792,,DC Comics,None,Male Characters,,2005
1803,None,Neutral Characters,Living Characters,2,,66321,Crazyface,6,Henchman of Don Vincenzo,,Jul-05,,,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/970314-crazyface_1.jpg,crazyface_jul_05,Cyborg,240823,,DC Comics,None,Male Characters,,2005
1804,None,Good Characters,Deceased Characters,2,,94997,Erich Thonius,1,Erich Thonius is one of a line of heroes that took the name of Vulcan and sought to defend the world from the White Martians.,,Aug-05,,Blond Hair,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/3479834-erichmiguelvulcan.jpg,erich_thonius_aug_05,,151840,,DC Comics,Erich Thonius,Male Characters,,2005
1805,None,Bad Characters,Living Characters,2,,134581,Fishmonger,2,,,Nov-05,,,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/6417146-fishmonger_01.jpg,fishmonger_nov_05,,213202,,DC Comics,None,Male Characters,,2005
1806,"Agent Helen Helligan
""Sky-High"" Helligan",Good Characters,Deceased Characters,2,,66325,Helen Helligan,6,FBI metahuman specialist,Brown Eyes,Aug-05,,Brown Hair,Public Identity,https://comicvine.gamespot.com/api/image/scale_large/971112-helligan_5.jpg,helen_helligan_aug_05,Human,239047,,DC Comics,Helen Helligan,Female Characters,,2005
1807,None,Bad Characters,Living Characters,2,,58805,Hindenberg,5,Member of the Superior 5.,,Oct-05,,,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/635597-hindenberg.jpg,hindenberg_oct_05,Human,1957,,DC Comics,None,Male Characters,,2005
1808,None,Good Characters,Living Characters,2,,6531,Kid Impala,7,Kid Impala is a member of the Ultramarine Corps.  ,,Feb-05,,Black Hair,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/286381-189392-kid-impala.jpg,kid_impala_feb_05,Human,206296,,DC Comics,None,Male Characters,,2005
1809,Mystery Mutt; Dogfather,Good Characters,Living Characters,2,,66833,Millions,6,The world's richest dog,Black Eyes,Nov-05,,White Hair,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/994085-millions.jpg,millions_nov_05,Animal,240387,,DC Comics,None,Male Characters,,2005
1810,None,Bad Characters,Living Characters,2,,134583,Monkey-in-the-middle,2,,,Nov-05,,,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/5815736-monkey%20in%20the%20middle.png,monkey-in-the-middle_nov_05,Animal,213211,,DC Comics,None,Male Characters,,2005
1811,None,Good Characters,Living Characters,2,,66307,Peredur,6,Blind member of the Knights of Broken Table. He possesses senses unknown to ordinary men.,,May-05,,,Public Identity,https://comicvine.gamespot.com/api/image/scale_large/969968-peredur_1.jpg,peredur_may_05,Human,240804,,DC Comics,Peredur ab Efrawc,Male Characters,,2005
1812,None,,Living Characters,2,,116213,Sadeh,2,Amazon.,,Aug-05,,Brown Hair,,https://comicvine.gamespot.com/api/image/scale_large/4433586-sadeh_001.jpg,sadeh_aug_05,God/Eternal,345508,,DC Comics,Sadeh,Female Characters,,2005
1813,None,Bad Characters,Deceased Characters,2,,134584,Scramjet,2,,,Nov-05,,,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/6417150-scarmjet.jpg,scramjet_nov_05,,213183,,DC Comics,None,Male Characters,,2005
1814,The Whip,Good Characters,Deceased Characters,2,,66672,Shelly Gaynor,5,"Author, reporter, and member of the Seven Soldiers of Victory",Blue Eyes,Apr-05,,Blond Hair,Public Identity,https://comicvine.gamespot.com/api/image/scale_large/994247-shelly_12.jpg,shelly_gaynor_apr_05,Human,121164,,DC Comics,Michelle Gaynor,Female Characters,,2005
1815,Strato the Cloud Man,Neutral Characters,Living Characters,2,,66322,Strato,17,"Air golem who serves Don Vincenzo. In DC Universe Rebirth, he's a member of the China White Triad.",Black Eyes,Jul-05,,Grey Hair,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/6403543-strato.jpg,strato_jul_05,Other,240841,,DC Comics,None,Male Characters,,2005
1816,Horigal,Neutral Characters,Deceased Characters,2,,66334,Submissionary Judah,6,Religious leader of Limbo Town,Black Eyes,Jun-05,,Black Hair,Public Identity,https://comicvine.gamespot.com/api/image/scale_large/971278-judah_10.jpg,submissionary_judah_jun_05,Cyborg,116678,,DC Comics,Judah,Male Characters,,2005
1817,None,Bad Characters,Living Characters,2,,60374,Witchazel,2,"An ""old"" enemy of the original Vulcan who returned to attack his son.",,Nov-05,,Purple Hair,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/727010-witchazeldcu.png,witchazel_nov_05,Human,213189,,DC Comics,None,Female Characters,,2005
1818,None,Good Characters,Living Characters,2,,86201,Andrew Lopez,4,"A detective in the Star City police force who has developed a good working relationship with the two Green Arrows. In the case of the younger Green Arrow, the working relationship borders on friendship.
",,Jul-04,,Black Hair,,https://comicvine.gamespot.com/api/image/scale_large/2666365-andrewlopez.png,andrew_lopez_jul_04,Human,70158,,DC Comics,Andrew Lopez,Male Characters,,2004
1819,None,Bad Characters,Living Characters,2,,6212,Casey Krinsky,3,"Casey is a young Detroit native who has the ability to absorb the properties of any substance she touches, an obsession with Firestorm, and the bloodlust of some of his most formidable foes.",Hazel Eyes,Oct-04,,Blond Hair,Public Identity,https://comicvine.gamespot.com/api/image/scale_large/104906-161019-casey-krinsky.jpg,casey_krinsky_oct_04,Human,162352,,DC Comics,None,Female Characters,,2004
1820,None,Good Characters,Living Characters,2,,72261,David Davies,3,A member of the Sea Devils (second team).,,Dec-04,,,Public Identity,https://comicvine.gamespot.com/api/image/scale_large/3542627-aquaman23-12.jpg,david_davies_dec_04,Human,320803,,DC Comics,David Davies,Male Characters,,2004
1821,None,Good Characters,Living Characters,2,,72259,Henry Kucharski,3,A member of the Sea Devils (second team).,Blue Eyes,Dec-04,,Blond Hair,Public Identity,https://comicvine.gamespot.com/api/image/scale_large/3542673-aquaman%20%2324%2011.jpg,henry_kucharski_dec_04,Human,320807,,DC Comics,Henry Kucharski,Male Characters,,2004
1822,None,Good Characters,Deceased Characters,2,,72260,Melinda Spyros,3,A member of the Sea Devils (second team).,,Dec-04,,Brown Hair,Public Identity,https://comicvine.gamespot.com/api/image/scale_large/3542683-aquaman23-12.jpg,melinda_spyros_dec_04,Human,320812,,DC Comics,Melinda Spyros,Female Characters,,2004
1823,None,Bad Characters,Living Characters,2,,9062,Fleshburn,4,,,Jul-03,,,,https://comicvine.gamespot.com/api/image/scale_large/2320089-fleshburn_01.jpg,fleshburn_jul_03,Human,186195,,DC Comics,None,Male Characters,,2003
1824,None,Bad Characters,Living Characters,2,,60358,Great White,4,Member of the second version of Axis America; armed with a gauntlet blade and electrical whip.,,Jul-03,,,,https://comicvine.gamespot.com/api/image/scale_large/6373148-blank.png,great_white_jul_03,Human,186668,,DC Comics,None,Male Characters,,2003
1825,None,Good Characters,Living Characters,2,,136369,Kid Scout,2,A young citizen from Heroville.,,Jun-03,,Red Hair,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/5702438-kid_scout_01.jpg,kid_scout_jun_03,Human,217911,,DC Comics,None,Male Characters,,2003
1826,None,Bad Characters,Living Characters,2,,9068,Zaladin,4,Zaladin is a scimitar-wielding mystic who serves the gods of ancient Mesopotamia. He is a member of a super powered white supremacist group called Axis America that was formed by the Clockwatchers organization.,White Eyes,Jul-03,,Black Hair,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/6373148-blank.png,zaladin_jul_03,Human,195323,,DC Comics,None,Male Characters,,2003
1827,None,Good Characters,Living Characters,2,,97423,Kaleeza Fashed,3,Bana Amazon who is a master designer.,,Feb-02,,,,https://comicvine.gamespot.com/api/image/scale_large/3600203-kaleeza.jpg,kaleeza_fashed_feb_02,Human,345117,,DC Comics,Kaleeza Fashed,Female Characters,,2002
1828,None,,Living Characters,2,,10015,Mixcoatl,2,Aztek god of hunt.,,Jul-02,,,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/6373148-blank.png,mixcoatl_jul_02,God/Eternal,16034,,DC Comics,None,,,2002
1829,None,Bad Characters,Living Characters,2,,12382,Canis Major,4,Fought under Steppenwolf in Darkseid's canine elite. One of his greatest warrirors.,,Aug-01,,,Public Identity,https://comicvine.gamespot.com/api/image/scale_large/6373148-blank.png,canis_major_aug_01,God/Eternal,263713,,DC Comics,None,Male Characters,,2001
1830,"Devourer of Souls
",Bad Characters,Living Characters,2,,16794,Matatoa,2,"First appearing in Batman: Gotham Knights #16 by writer Devin Grayson and artist Roger Robinson, Matatoa is an immortal covered in Maori tattoos who drains the life force of his victims in order to sustain his continued existence.",Black Eyes,Jun-01,,Blond Hair,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/4799136-6058163042-latest,matatoa_jun_01,Human,202351,,DC Comics,Unknown,Male Characters,,2001
1831,Constance,Bad Characters,Deceased Characters,2,,17694,Blue Ice,3,"An enemy of Wonder Woman, a villainess with the ability to amplify the radioactive elements of blood.",,Mar-00,,Black Hair,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/1212122-blueice.jpg,blue_ice_mar_00,Mutant,183498,,DC Comics,Constance,Female Characters,,2000
1832,None,Good Characters,Living Characters,2,,2368,Cachiru,4,Argentina has its own team of protectors and Among one of those protectors is Cachiru.,Blue Eyes,Sep-00,,Black Hair,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/233727-62490-cachiru.JPG,cachiru_sep_00,Human,134781,,DC Comics,None,Male Characters,,2000
1833,None,Bad Characters,Deceased Characters,2,,116342,Drakul Karfang,5,A powerful dragon who was slain by Wonder Woman before he could burn down the world.,Red Eyes,Nov-00,,,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/4438868-14th_century.jpg,drakul_karfang_nov_00,Animal,339951,,DC Comics,Drakul Karfang Drakoni Serpente,Female Characters,,2000
1834,"Ebikar Hrui 
Green Lantern 2815",Good Characters,Deceased Characters,2,,53448,Ebikar Hrui,8,Honored Fallen Lantern of Space Sector 2815,Yellow Eyes,Feb-00,,Green Hair,,https://comicvine.gamespot.com/api/image/scale_large/366349-10115-ebikar-hrui.jpg,ebikar_hrui_feb_00,Alien,145208,,DC Comics,Ebikar Hrui,Male Characters,,2000
1835,None,Good Characters,Living Characters,2,,58726,El Bagual,3,"An humanoid with a horse head, he has super-strength and invulnerability. He is a member of super-malon.",,Sep-00,,,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/633979-el_bagual.jpg,el_bagual_sep_00,Mutant,134787,,DC Comics,None,Male Characters,,2000
1836,None,Good Characters,Living Characters,2,,2375,Vizacacha,2,"A master of thiefs, he is a member of Super-Malon.",,Sep-00,,,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/633978-vizacacha.jpg,vizacacha_sep_00,Human,134788,,DC Comics,None,Male Characters,,2000
1837,None,Bad Characters,Living Characters,2,,22946,Dante,5,A sorcerous villain to a realm of Hell who has battled Supergirl and Young Justice.,Red Eyes,Sep-99,,Brown Hair,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/1283888-dante.jpg,dante_sep_99,Human,184565,,DC Comics,None,Male Characters,,1999
1838,Eddie Skeevers,Bad Characters,Deceased Characters,2,,77701,Edward Skeevers,3,"Introduced in Dark Victory, Edward Skeevers is the head of the Skeevers crime family. ",,Dec-99,,Black Hair,Public Identity,https://comicvine.gamespot.com/api/image/scale_large/1802122-eddieskeevers.jpg,edward_skeevers_dec_99,Human,110532,,DC Comics,Edward Skeevers,Male Characters,,1999
1839,None,Good Characters,Living Characters,2,,148504,Henry Lee Jordan,2,,,Sep-99,,Brown Hair,Public Identity,https://comicvine.gamespot.com/api/image/scale_large/6373148-blank.png,henry_lee_jordan_sep_99,,318144,,DC Comics,None,Male Characters,,1999
1840,Katie,Good Characters,Deceased Characters,2,,23123,Kathryn Monaghan,3,"She is the biological mother of Tommy Monaghan and Frances Monaghan, she was the local hooker of Halfmiletown.",,Mar-99,,Black Hair,Public Identity,https://comicvine.gamespot.com/api/image/scale_large/2053105-hitman__36___20.jpg,kathryn_monaghan_mar_99,Human,315662,,DC Comics,Kathryn Monaghan,Female Characters,,1999
1841,None,Bad Characters,Deceased Characters,2,,102411,Lucia Viti,4,Lucia Viti is the eldest cousin of the Falcone siblings. Lucia takes over her mother Carla's operations in Chicago after her mother was shot by the Holiday Killer.,Blue Eyes,Dec-99,,Brown Hair,Public Identity,https://comicvine.gamespot.com/api/image/scale_large/3837223-luciaviti.jpg,lucia_viti_dec_99,Human,110517,,DC Comics,Lucia Viti,Female Characters,,1999
1842,None,Good Characters,Deceased Characters,2,,58522,Prohl Gosgotha,6,"The deceased Green Lantern Prohl Gosgotha was rumored to have been Sinestro's predecessor, who passed his ring on to Sinestro so that the Korugarian could aid the wounded Lantern in defeating his Qwardian attackers. After disposing of the Qwardians, Sinestro allegedly kept the ring and allowed Prohl Gosgotha to die of his wounds, despite the Lanterns pleas to return it. ",Blue Eyes,Dec-99,,,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/816639-prohl.jpg,prohl_gosgotha_dec_99,Alien,297534,,DC Comics,None,Male Characters,,1999
1843,"Sela Allen
The Flash",Good Characters,Living Characters,2,,19092,Sela Allen,7,23rd-century descendent of Barry Allen and the living embodiment of the Speed Force,White Eyes,Mar-99,,,,https://comicvine.gamespot.com/api/image/scale_large/280443-136043-sela-allen.gif,sela_allen_mar_99,Other,305583,,DC Comics,Sela Allen,Female Characters,,1999
1844,None,Good Characters,Living Characters,2,,116222,Pallas,4,Amazon.,Brown Eyes,Mar-98,,Black Hair,,https://comicvine.gamespot.com/api/image/scale_large/4433790-pallas_001.jpg,pallas_mar_98,God/Eternal,344970,,DC Comics,Pallas,Female Characters,,1998
1845,None,,Living Characters,2,,116341,Sally Marsden,2,Officer for the Boston Police Department.,Green Eyes,May-98,,Red Hair,Public Identity,https://comicvine.gamespot.com/api/image/scale_large/4438776-sally_marsden_0002.jpg,sally_marsden_may_98,Human,380414,,DC Comics,Sally Marsden,Female Characters,,1998
1846,None,Good Characters,Deceased Characters,2,,113248,Bernell Jones,2,"Bernell Jones is Arrowette's father. He met his wife, Bonnie, while working as a reporter for the Star City Post-Times-Herald.",Brown Eyes,Aug-97,,Brown Hair,Public Identity,https://comicvine.gamespot.com/api/image/scale_large/6057927-bernell%20jones.jpg,bernell_jones_aug_97,Human,282779,,DC Comics,Bernell Jones,Male Characters,,1997
1847,None,Bad Characters,Living Characters,2,,24265,Gamesman,6,The Gamesman hunts Super-heroes for sport.,Blue Eyes,Aug-97,,,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/993751-gamesman2.jpg,gamesman_aug_97,Human,186557,,DC Comics,None,Male Characters,,1997
1848,None,Good Characters,Deceased Characters,2,,117753,Kenneth Wayne,2,Only son of Alan Wayne and Catherine Van Derm as well as the founder of Wayne Chemical. Great-Grandfather of Batman,,Oct-97,,Black Hair,Public Identity,https://comicvine.gamespot.com/api/image/scale_large/4521149-screen%20shot%202015-04-21%20at%207.51.23%20pm.png,kenneth_wayne_oct_97,Human,375664,,DC Comics,Kenneth Wayne,Male Characters,,1997
1849,"Luigi Maroni
Big Lou
Boss Maroni",Bad Characters,Deceased Characters,2,,53824,Luigi Maroni,4,Was the father of Sal Maroni and leader of the Maroni crime family in Gotham City. It was his death at the hands of the Holiday killer that made him scar Harvey Dent transforming him into Two-Face.,,Aug-97,,Grey Hair,Public Identity,https://comicvine.gamespot.com/api/image/scale_large/1264177-120457_187620_salvatore_maroni.jpg,luigi_maroni_aug_97,Human,110526,,DC Comics,Luigi Maroni,Male Characters,,1997
1850,None,Bad Characters,Living Characters,2,,24256,Machine Messiah,3,Green lantern enemy.,,Jul-97,,,,https://comicvine.gamespot.com/api/image/scale_large/2291348-machine_messiah_01.png,machine_messiah_jul_97,Cyborg,189262,,DC Comics,None,,,1997
1851,None,Bad Characters,Living Characters,2,,23991,Rhombus,2,Ex-lover of Tsunami who believed to be father of Deep Blue and a enemy of Aquaman.,Black Eyes,Nov-97,,White Hair,Public Identity,https://comicvine.gamespot.com/api/image/scale_large/1157671-jdddfhdfh.jpg,rhombus_nov_97,Other,206648,,DC Comics,None,Male Characters,,1997
1852,None,,Living Characters,2,,13050,Burton Thompson,7,The director of Metropolis's STAR Labs.,Brown Eyes,Jul-96,,Brown Hair,Public Identity,https://comicvine.gamespot.com/api/image/scale_large/3540691-1998525810-char_.jpg,burton_thompson_jul_96,Human,316860,,DC Comics,None,Male Characters,,1996
1853,"Liberty Lass
",Bad Characters,Living Characters,2,,60792,Death-Doll,5,"Originally the heroine Liberty Lass, she was in a terrible accident. Pieced back together by the CIA, the psychologically-unstable heroine turned to crime as Death-Doll.",Blue Eyes,Oct-96,,Blond Hair,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/1583964-208043_5727_115455_1_aztek_the_ultimate_super.jpg,death-doll_oct_96,Cyborg,184597,,DC Comics,None,Female Characters,,1996
1854,"The last Menehune
The Demolisher",Bad Characters,Living Characters,2,,23869,Kekona,3,"Armed with a stone hammer and a disgust for human architecture, Kekona is a Menehune, an ancient Hawaiian architect who belives that humans build buildings wrong.",Brown Eyes,Dec-96,,,Public Identity,https://comicvine.gamespot.com/api/image/scale_large/242896-103144-kekona.jpg,kekona_dec_96,God/Eternal,225299,,DC Comics,None,Male Characters,,1996
1855,None,Bad Characters,Living Characters,2,,10896,Lizard King,3,Man who wanted to obtain Aztek's helmet with the goal to become the champion of light who will defeat the threat of Tezcatlipoca.,,Nov-96,,Brown Hair,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/1022748-lizard_11.jpg,lizard_king_nov_96,Human,189018,,DC Comics,None,Male Characters,,1996
1856,None,Bad Characters,Living Characters,2,,61313,Sinthia,4,"Lieutenant of Grayven, the third son of Darkseid.",,Jun-96,,Brown Hair,Public Identity,https://comicvine.gamespot.com/api/image/scale_large/909921-sinthia_1.jpg,sinthia_jun_96,,25714,,DC Comics,None,Female Characters,,1996
1857,None,Bad Characters,Living Characters,2,,5322,Stayne,4,Stayne is Takion's dark counterpart who was a nameless human woman transformed by Darkseid's power.,,Jul-96,,,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/844988-stayne.jpg,stayne_jul_96,God/Eternal,193742,,DC Comics,None,Female Characters,,1996
1858,None,Bad Characters,Living Characters,2,,24974,Synth,3,"Synth was part of a government testing program that gave him powers, but left him extremely unstable.",,Aug-96,,,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/1583868-synth.jpg,synth_aug_96,Mutant,193984,,DC Comics,None,Male Characters,,1996
1859,None,Bad Characters,Deceased Characters,2,,69093,Twilight,1,Member of the Shadow-Force.,,Apr-96,,,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/1118542-twilight_1.jpg,twilight_apr_96,Human,138397,,DC Comics,None,Female Characters,,1996
1860,None,Good Characters,Deceased Characters,2,,72568,Warhammer,2,Hellender agent whose superstrength and skills with weapons likes swords and maces make him a lethal opponent,Blue Eyes,Oct-96,,Blond Hair,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/1323455-warhammer.jpg,warhammer_oct_96,Human,310602,,DC Comics,None,Male Characters,,1996
1861,None,Bad Characters,Living Characters,2,,77017,Chromax,2,Chromax was a member of Maxwell Lord's Leaguebusters.,,Jun-94,,,,https://comicvine.gamespot.com/api/image/scale_large/1740792-chromax.jpg,chromax_jun_94,Human,184075,,DC Comics,None,Male Characters,,1994
1862,None,Good Characters,Deceased Characters,2,,108330,Drin,3,A dolphin son of Porm and brother of Aquaman.,,Jan-94,,,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/4140337-aquat%26t-02-132.jpg,drin_jan_94,Animal,246532,,DC Comics,None,Male Characters,,1994
1863,None,Good Characters,Living Characters,2,,79806,Equinox,4,"Equinox is the child Power Girl gave birth to as Hal Jordan, possessed by Parallax, destroyed the time stream. The child rapidly aged into a warrior and fulfilled an Atlantean prophecy by destroying the agent of Chaos, Scarabus. ",Blue Eyes,Sep-94,,Blond Hair,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/1992404-equinox.jpg,equinox_sep_94,Human,194069,,DC Comics,None,Male Characters,,1994
1864,None,Bad Characters,Living Characters,2,,137105,Hardsell,2,An enemy of Steel and a member of Black Ops.,Brown Eyes,Oct-94,,Black Hair,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/5746137-hardsell_01%20%282%29.png,hardsell_oct_94,Human,139533,,DC Comics,None,Male Characters,,1994
1865,None,Bad Characters,Living Characters,2,,137104,Mainline,2,An enemy of Steel and a member of Black Ops.,,Oct-94,,,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/5746136-mainline_01.png,mainline_oct_94,Human,139532,,DC Comics,None,Male Characters,,1994
1866,None,Good Characters,Living Characters,2,,116114,Nuscia,3,,,Nov-94,,Brown Hair,,https://comicvine.gamespot.com/api/image/scale_large/4428962-nuscia_001.jpg,nuscia_nov_94,Human,344321,,DC Comics,Nuscia,Female Characters,,1994
1867,None,Bad Characters,Living Characters,2,,77012,Phalanx,2,Roman-themed member of the Overmaster's Cadre.,,May-94,,,,https://comicvine.gamespot.com/api/image/scale_large/1754805-phalanx.jpg,phalanx_may_94,Human,192195,,DC Comics,None,Male Characters,,1994
1868,None,Good Characters,Living Characters,2,,114163,Probert,2,,,Mar-94,,,,https://comicvine.gamespot.com/api/image/scale_large/4372465-probert_001.jpg,probert_mar_94,Alien,303697,,DC Comics,None,Male Characters,,1994
1869, Ms. Jeffries ,Bad Characters,Living Characters,2,,50066,Zephyr,3,Zephyr was one of the first villains that Catwoman fought in version one of her series.,Green Eyes,Mar-94,,Red Hair,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/276866-54295-zephyr.jpg,zephyr_mar_94,Human,195329,,DC Comics,Ms. Jeffries,Female Characters,,1994
1870,None,Good Characters,Living Characters,2,,116102,Danthis,2,Amazon.,,Jul-93,,,,https://comicvine.gamespot.com/api/image/scale_large/4428894-danthis_and_hellen_001.jpg,danthis_jul_93,God/Eternal,344314,,DC Comics,Danthis,Female Characters,,1993
1871,None,Good Characters,Living Characters,2,,116101,Hellen,2,Amazon.,,Jul-93,,,,https://comicvine.gamespot.com/api/image/scale_large/4428893-danthis_and_hellen_001.jpg,hellen_jul_93,God/Eternal,344315,,DC Comics,Hellen,Female Characters,,1993
1872,None,Good Characters,Living Characters,2,,49743,Lan Dibbux,8,Green Lantern of Space Sector 3192,Yellow Eyes,Dec-93,,,,https://comicvine.gamespot.com/api/image/scale_large/522089-0000.jpg,lan_dibbux_dec_93,Alien,144516,,DC Comics,None,Male Characters,,1993
1873,None,Bad Characters,Living Characters,2,,26701,Mekros,2,"Hired to hunt Batman.

",,Nov-93,,,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/1030079-mekros.jpg,mekros_nov_93,,190404,,DC Comics,None,Male Characters,,1993
1874,None,Good Characters,Living Characters,2,,112567,Shadowstryke,2,New blood who applied for the Justice League.,,Jan-93,,Black Hair,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/4344707-7510632576-Shado.jpg,shadowstryke_jan_93,,82480,,DC Comics,None,Male Characters,,1993
1875,None,Bad Characters,Living Characters,2,,68445,Shard,1,Body is composed of a substance similar to broken glass.,,Feb-93,,,,https://comicvine.gamespot.com/api/image/scale_large/1086032-2up2.jpg,shard_feb_93,Other,127264,,DC Comics,None,Male Characters,,1993
1876,None,Bad Characters,Living Characters,2,,27171,Chancer,5,Chancer is a thief from Texas wanted for over 20 different robberies. He is a generally overconfident character with an unusual luck that usually ends up with someone in a bind and him getting away.,,Dec-92,,,Secret Identity,https://comicvine.gamespot.com/api/image/scale_large/267501-2661-chancer.gif,chancer_dec_92,Human,161350,,DC Comics,None,Male Characters,,1992
1877,None,Good Characters,Deceased Characters,2,,77681,Cyrus Pinkney,1,The architect behind the original look of Gotham's skyline.,,Feb-92,,,,https://comicvine.gamespot.com/api/image/scale_large/1800871-cyruspinkney.jpg,cyrus_pinkney_feb_92,Human,310683,,DC Comics,None,Male Characters,,1992
1878,None,Bad Characters,Living Characters,2,,114077,Dogtag,3,,,Jan-92,,,,https://comicvine.gamespot.com/api/image/scale_large/4371474-dogtag_001.jpg,dogtag_jan_92,Alien,295115,,DC Comics,None,Male Characters,,1992
1879,None,Good Characters,Living Characters,2,,27536,Jon Riksson,2,Descendent of Viking Prince.,,Aug-92,,Blond Hair,Public Identity,https://comicvine.gamespot.com/api/image/scale_large/3896040-jon_riksson_01.jpg,jon_riksson_aug_92,Human,203652,,DC Comics,None,Male Characters,,1992
